City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Qaqortoq,GL,42.8,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
498,Ginda,IN,41.34,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
500,Te Anau,NZ,75.9,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
501,Salon,IN,49.93,clear sky,26.0333,81.45,Fhation look garmenet
503,Batemans Bay,AU,75.0,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
504,Urucara,BR,76.53,broken clouds,-2.5364,-57.76,Hotel japa
507,Pangai,TO,78.4,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
517,Iquique,CL,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
518,Rawson,AR,58.26,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
520,Dindori,IN,50.49,clear sky,22.95,81.0833,Konark Marriage Garden
521,Waipawa,NZ,75.99,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
522,Alamos,MX,57.99,few clouds,27.0167,-108.9333,Luz del Sol
525,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
526,Bella Union,UY,69.87,clear sky,-30.2752,-57.6007,Hotel Oriente
527,Saint-Joseph,RE,78.8,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
529,La Maddalena,IT,53.6,clear sky,41.2142,9.4083,Hotel Il Gabbiano
533,Tura,IN,61.7,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
539,Inhambane,MZ,76.32,overcast clouds,-23.865,35.3833,Oceano
541,Alexandria,EG,55.4,clear sky,31.2156,29.9553,Royal Crown Hotel
542,Ucluelet,CA,44.6,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
544,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
546,Honavar,IN,69.84,overcast clouds,14.2833,74.45,Hotel Sagar Residency
549,Mount Pleasant,US,46.4,moderate rain,32.7941,-79.8626,Best Western Patriots Point
554,Vieste,IT,48.2,mist,41.8825,16.175,Hotel Falcone
555,Ouesso,CG,73.08,scattered clouds,1.6136,16.0517,Hôtel ABENI
557,Flinders,AU,79.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
558,Half Moon Bay,US,60.8,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
560,Mecca,SA,64.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
567,Nabire,ID,79.72,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
569,Birin,NP,46.06,clear sky,26.8865,88.0718,Sangam hotel and lodge
570,Falam,MM,56.5,clear sky,22.9167,93.6833,Falang Government Guesthouse
572,San Carlos,VE,76.93,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
