City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Bauchi,NG,10.5,10.0,86.49,14,50,6.22,scattered clouds
108,Port Alfred,ZA,-33.5906,26.891,66.99,94,65,15.99,light rain
109,Iqaluit,CA,63.7506,-68.5145,26.6,68,75,18.41,broken clouds
110,Detchino,RU,54.8092,36.3075,10.4,79,90,11.18,overcast clouds
111,Burnie,AU,-41.0667,145.9167,55.99,67,79,5.66,broken clouds
112,Malmyzh,RU,56.5205,50.6818,-3.86,90,100,14.2,overcast clouds
113,Acapulco,MX,16.8634,-99.8901,84.2,61,40,3.51,scattered clouds
114,Sioux Lookout,CA,50.1001,-91.917,-20.2,57,40,12.66,scattered clouds
115,Mehran,IR,33.1222,46.1646,44.6,93,40,6.91,scattered clouds
116,Maniitsoq,GL,65.4167,-52.9,27.77,82,0,16.22,clear sky
117,Victoria,HK,22.2855,114.1577,68.0,83,0,10.6,clear sky
118,Kodiak,US,57.79,-152.4072,26.6,68,1,4.61,clear sky
119,Nalut,LY,30.3333,10.85,69.53,24,61,18.34,broken clouds
120,Erenhot,CN,43.6475,111.9767,7.38,88,0,4.38,clear sky
121,Manggar,ID,-2.8833,108.2667,79.9,81,85,12.8,overcast clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,5.75,broken clouds
123,Makakilo City,US,21.3469,-158.0858,60.8,77,20,4.61,few clouds
124,Russkaya Polyana,UA,49.417,31.9201,11.12,93,100,8.05,light snow
125,Tarbes,FR,43.25,0.1667,44.6,81,90,8.05,overcast clouds
126,Biloela,AU,-24.4167,150.5,78.67,81,83,0.87,broken clouds
127,Kieta,PG,-6.2167,155.6333,79.52,79,99,4.0,overcast clouds
128,Malakal,SS,9.5334,31.6605,79.12,16,43,5.53,scattered clouds
129,Chokurdakh,RU,70.6333,147.9167,-24.79,85,64,6.29,broken clouds
130,Pflugerville,US,30.4394,-97.62,55.0,58,1,8.05,clear sky
131,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,12.66,scattered clouds
132,Talnakh,RU,69.4865,88.3972,-23.26,72,0,3.44,clear sky
133,Poronaysk,RU,49.2167,143.1167,-2.49,87,67,5.93,light snow
134,Goderich,CA,43.7501,-81.7165,10.4,67,99,16.11,overcast clouds
135,East London,ZA,-33.0153,27.9116,71.6,88,75,6.91,broken clouds
136,Savannah Bight,HN,16.45,-85.85,82.4,78,20,12.46,few clouds
137,Cabedelo,BR,-6.9811,-34.8339,87.8,62,75,11.5,broken clouds
138,Cap Malheureux,MU,-19.9842,57.6142,81.0,78,73,4.0,light rain
139,Auki,SB,-8.7676,160.7034,77.58,85,79,6.42,broken clouds
140,Zavoronezhskoye,RU,52.8801,40.5526,-4.29,91,23,10.0,few clouds
141,Springbok,ZA,-29.6643,17.8865,74.7,41,0,12.06,clear sky
142,Carnarvon,AU,-24.8667,113.6333,78.8,100,40,12.66,scattered clouds
143,Avera,US,33.194,-82.5271,46.0,93,90,5.75,overcast clouds
144,Kloulklubed,PW,7.0419,134.2556,75.2,100,90,6.91,heavy intensity rain
145,Naifaru,MV,5.4444,73.3657,81.93,72,67,9.22,broken clouds
146,Pevek,RU,69.7008,170.3133,-6.72,87,0,1.86,clear sky
147,Emmett,US,43.8735,-116.4993,42.01,43,0,5.99,clear sky
148,Yantal,RU,56.8471,105.2542,21.79,96,100,6.85,overcast clouds
149,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,91.15,61,10,1.57,clear sky
150,Castro,BR,-24.7911,-50.0119,75.22,42,0,3.31,clear sky
151,Meaford,CA,44.6001,-80.583,17.01,80,98,8.01,light snow
152,Turayf,SA,31.6725,38.6637,55.4,67,0,6.91,clear sky
153,Miquelon,PM,47.0975,-56.3814,32.0,59,40,33.38,scattered clouds
